Weekipedia_ID,Freebase_ID,Name,Release_date,Revenue,Runtime,Language,Countries,Genres,Release_year,Language_clean,Genres_clean,Countries_clean
13919299,/m/03cn6hr,The Devil’s Gift,1984,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}",1984.0,['English'],"['Thriller', 'Horror']",['United States of America']
5549065,/m/0ds11z,Sweeney Todd: The Demon Barber of Fleet Street,2007-12-03,152523164.0,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0fx2s"": ""Tragedy"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama""}",2007.0,['English'],"['Crime Fiction', 'Tragedy', 'Horror', 'Supernatural', 'Musical', 'Drama']","['United States of America', 'United Kingdom']"
2546429,/m/07m7j8,Friday the 13th: The Final Chapter,1984-04-13,32980880.0,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",1984.0,['English'],"['Cult', 'Horror', 'Slasher', 'Teen']",['United States of America']
32584198,/m/0h1fzpv,Spiderhole,2010,,82.0,{},{},"{""/m/03npn"": ""Horror""}",2010.0,[],['Horror'],[]
1033297,/m/0401sg,Resident Evil,2002-03-12,102441078.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0f8l9c"": ""France"", ""/m/0d060g"": ""Canada"", ""/m/07ssc"": ""United Kingdom"", ""/m/0345h"": ""Germany""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/094ddt"": ""Doomsday film"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03p15s3"": ""Plague"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/02kdv5l"": ""Action""}",2002.0,['English'],"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Doomsday film', 'Sci-Fi Horror', 'Creature Film', 'Plague', 'Zombie Film', 'Action']","['United States of America', 'France', 'Canada', 'United Kingdom', 'Germany']"
31025770,/m/0gg6hp6,La Cabeza de Pancho Villa,1957,,,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0b90_r"": ""Mexico""}","{""/m/02n4kr"": ""Mystery"", ""/m/0hfjk"": ""Western"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure""}",1957.0,['Spanish'],"['Mystery', 'Western', 'Horror', 'Adventure']",['Mexico']
24862266,/m/09gkn8b,Monsters Crash the Pajama Party,1965,,31.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0qdzd"": ""B-movie"", ""/m/05p553"": ""Comedy film"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/02hmvc"": ""Short Film"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror""}",1965.0,['English'],"['B-movie', 'Comedy film', 'Creature Film', 'Short Film', 'Zombie Film', 'Horror']",['United States of America']
9879162,/m/02pvqww,Gritos en la noche,1962-05-14,,86.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0f8l9c"": ""France"", ""/m/06mkj"": ""Spain""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}",1962.0,['Spanish'],"['Thriller', 'Horror']","['France', 'Spain']"
2093270,/m/06lnkr,The Gorgon,1964,,83.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hj3n4p"": ""Gothic Film"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0hj3m_c"": ""Costume Horror""}",1964.0,['English'],"['Thriller', 'Gothic Film', 'Horror', 'Creature Film', 'Costume Horror']",['United Kingdom']
1226289,/m/04k12v,Bless the Child,2000-08-11,40443010.0,107.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",2000.0,['English'],"['Thriller', 'Mystery', 'Horror', 'Supernatural']","['United States of America', 'Germany']"
12061267,/m/02vnj6h,Grizzly II: The Predator,1987,,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}",1987.0,['English'],"['Thriller', 'Horror']",['United States of America']
15945437,/m/03qhx0c,Cannibal Apocalypse,1980-08-04,,96.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/06mkj"": ""Spain"", ""/m/03rjj"": ""Italy""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}",1980.0,['Italian'],"['Thriller', 'Horror']","['Spain', 'Italy']"
3459253,/m/09dl0l,Secret of the Telegian,1960-04-10,,85.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","{""/m/03_3d"": ""Japan""}","{""/m/02n4kr"": ""Mystery"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0gw5n2f"": ""Japanese Movies""}",1960.0,"['Japanese', 'English']","['Mystery', 'Science Fiction', 'Horror', 'Japanese Movies']",['Japan']
1135297,/m/04993j,13 Ghosts,1960-07,,172.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",1960.0,['English'],['Horror'],['United States of America']
19837210,/m/04q31n1,Romasanta,2004,,92.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0hj3n4p"": ""Gothic Film"", ""/m/04xvlr"": ""Period piece"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller""}",2004.0,"['English', 'Spanish']","['Gothic Film', 'Period piece', 'Horror', 'Psychological thriller']","['Spain', 'United Kingdom']"
31633054,/m/04j03bn,Voodoo,1995,,91.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/02b5_l"": ""Teen""}",1995.0,[],"['Zombie Film', 'Horror', 'Teen']",['United States of America']
9846672,/m/02ptq_6,Loopy,2004,,20.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02hmvc"": ""Short Film"", ""/m/03npn"": ""Horror""}",2004.0,['English'],"['Short Film', 'Horror']",['United States of America']
29499560,/m/0cs0w8k,Dawn of the Mummy,1981,,93.0,{},"{""/m/09c7w0"": ""United States of America"", ""/m/03rjj"": ""Italy"", ""/m/02k54"": ""Egypt""}","{""/m/0g092b"": ""Monster movie"", ""/m/0qdzd"": ""B-movie"", ""/m/03npn"": ""Horror""}",1981.0,[],"['Monster movie', 'B-movie', 'Horror']","['United States of America', 'Italy', 'Egypt']"
7267251,/m/0kv2ly,Moonshine,2006,,72.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01hmnh"": ""Fantasy"", ""/m/04q6sch"": ""Comedy horror"", ""/m/03npn"": ""Horror""}",2006.0,['English'],"['Fantasy', 'Comedy horror', 'Horror']",['United States of America']
1033477,/m/040280,Godsend,2004-04-30,30114487.0,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/07s9rl0"": ""Drama""}",2004.0,['English'],"['Thriller', 'Science Fiction', 'Horror', 'Sci-Fi Horror', 'Psychological thriller', 'Drama']","['United States of America', 'Canada']"
7281088,/m/0kv3jx,Monster Dog,1984,,84.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/06mkj"": ""Spain""}","{""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film""}",1984.0,"['English', 'Spanish']","['Horror', 'Creature Film']","['United States of America', 'Spain']"
22592501,/m/05zptkl,The Eclipse,2009-04-24,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/03rt9"": ""Ireland"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",2009.0,['English'],"['Thriller', 'Drama', 'Romance Film', 'Horror', 'Supernatural']","['Ireland', 'United Kingdom']"
34235410,/m/0hzm_x1,The Amityville Haunting,2011-12-27,,86.0,{},{},"{""/m/03npn"": ""Horror""}",2011.0,[],['Horror'],[]
7280802,/m/0kv3j3,Wolfman,1979,,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0qdzd"": ""B-movie"", ""/m/03npn"": ""Horror""}",1979.0,['English'],"['B-movie', 'Horror']",['United States of America']
4572965,/m/0c9jj9,Hostel 2,2007-06-07,35619521.0,94.0,"{""/m/01wgr"": ""Czech Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language"", ""/m/06zvx"": ""Slovak Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher""}",2007.0,"['Czech', 'Italian', 'English', 'Slovak']","['Thriller', 'Cult', 'Horror', 'Slasher']",['United States of America']
7876902,/m/026h68f,Abhilasha,1983-03-11,,,"{""/m/09s02"": ""Telugu language""}","{""/m/03rk0"": ""India""}","{""/m/03npn"": ""Horror""}",1983.0,['Telugu language'],['Horror'],['India']
9248665,/m/0281l5m,The Devils Nightmare,1971,,95.0,"{""/m/064_8sq"": ""French Language"", ""/m/02bjrlw"": ""Italian Language""}","{""/m/0154j"": ""Belgium"", ""/m/03rjj"": ""Italy""}","{""/m/0qdzd"": ""B-movie"", ""/m/03npn"": ""Horror""}",1971.0,"['French', 'Italian']","['B-movie', 'Horror']","['Belgium', 'Italy']"
